running 808 tests
test mutex_3t_050p ... bench:   3,102,444 ns/iter (+/- 659,421)
test mutex_3t_051p ... bench:   3,136,568 ns/iter (+/- 682,134)
test mutex_3t_052p ... bench:   3,250,994 ns/iter (+/- 800,230)
test mutex_3t_053p ... bench:   3,234,907 ns/iter (+/- 605,220)
test mutex_3t_054p ... bench:   3,241,188 ns/iter (+/- 897,688)
test mutex_3t_055p ... bench:   3,272,985 ns/iter (+/- 971,563)
test mutex_3t_056p ... bench:   3,362,629 ns/iter (+/- 1,179,594)
test mutex_3t_057p ... bench:   3,437,230 ns/iter (+/- 1,104,684)
test mutex_3t_058p ... bench:   3,330,821 ns/iter (+/- 1,164,831)
test mutex_3t_059p ... bench:   3,429,963 ns/iter (+/- 1,082,468)
test mutex_3t_060p ... bench:   3,559,744 ns/iter (+/- 967,668)
test mutex_3t_061p ... bench:   3,569,203 ns/iter (+/- 1,408,452)
test mutex_3t_062p ... bench:   3,671,020 ns/iter (+/- 1,213,796)
test mutex_3t_063p ... bench:   3,742,395 ns/iter (+/- 1,293,344)
test mutex_3t_064p ... bench:   3,672,189 ns/iter (+/- 1,182,134)
test mutex_3t_065p ... bench:   3,569,228 ns/iter (+/- 1,560,470)
test mutex_3t_066p ... bench:   3,983,459 ns/iter (+/- 1,566,601)
test mutex_3t_067p ... bench:   3,903,280 ns/iter (+/- 1,179,604)
test mutex_3t_068p ... bench:   4,099,286 ns/iter (+/- 1,500,391)
test mutex_3t_069p ... bench:   4,212,533 ns/iter (+/- 1,475,455)
test mutex_3t_070p ... bench:   4,391,061 ns/iter (+/- 1,490,487)
test mutex_3t_071p ... bench:   4,431,380 ns/iter (+/- 1,408,954)
test mutex_3t_072p ... bench:   4,613,402 ns/iter (+/- 1,287,508)
test mutex_3t_073p ... bench:   4,541,740 ns/iter (+/- 1,429,841)
test mutex_3t_074p ... bench:   4,659,156 ns/iter (+/- 1,272,729)
test mutex_3t_075p ... bench:   4,900,221 ns/iter (+/- 1,644,705)
test mutex_3t_076p ... bench:   4,973,553 ns/iter (+/- 1,400,516)
test mutex_3t_077p ... bench:   5,329,626 ns/iter (+/- 1,810,328)
test mutex_3t_078p ... bench:   5,519,488 ns/iter (+/- 1,538,257)
test mutex_3t_079p ... bench:   5,582,387 ns/iter (+/- 2,410,151)
test mutex_3t_080p ... bench:   5,377,975 ns/iter (+/- 1,704,372)
test mutex_3t_081p ... bench:   5,789,105 ns/iter (+/- 2,043,061)
test mutex_3t_082p ... bench:   5,868,263 ns/iter (+/- 1,606,782)
test mutex_3t_083p ... bench:   6,086,268 ns/iter (+/- 1,895,280)
test mutex_3t_084p ... bench:   6,129,546 ns/iter (+/- 1,704,225)
test mutex_3t_085p ... bench:   6,195,892 ns/iter (+/- 2,205,091)
test mutex_3t_086p ... bench:   6,405,886 ns/iter (+/- 1,658,185)
test mutex_3t_087p ... bench:   6,464,785 ns/iter (+/- 1,656,181)
test mutex_3t_088p ... bench:   6,545,774 ns/iter (+/- 2,049,318)
test mutex_3t_089p ... bench:   6,771,468 ns/iter (+/- 1,669,310)
test mutex_3t_090p ... bench:   6,925,116 ns/iter (+/- 1,660,854)
test mutex_3t_091p ... bench:   7,058,656 ns/iter (+/- 1,418,733)
test mutex_3t_092p ... bench:   7,224,998 ns/iter (+/- 2,098,429)
test mutex_3t_093p ... bench:   7,229,825 ns/iter (+/- 1,944,675)
test mutex_3t_094p ... bench:   7,187,937 ns/iter (+/- 1,850,176)
test mutex_3t_095p ... bench:   7,325,691 ns/iter (+/- 1,627,048)
test mutex_3t_096p ... bench:   7,226,558 ns/iter (+/- 2,498,127)
test mutex_3t_097p ... bench:   5,656,502 ns/iter (+/- 1,901,124)
test mutex_3t_098p ... bench:   6,589,405 ns/iter (+/- 3,044,182)
test mutex_3t_099p ... bench:   7,709,687 ns/iter (+/- 2,981,729)
test mutex_3t_100p ... bench:   7,340,436 ns/iter (+/- 2,612,297)
test mutex_4t_000p ... bench:   2,218,763 ns/iter (+/- 660,246)
