running 808 tests
test mutex_3t_003p ... bench:   1,647,060 ns/iter (+/- 394,913)
test mutex_3t_004p ... bench:   1,621,307 ns/iter (+/- 458,739)
test mutex_3t_005p ... bench:   1,698,144 ns/iter (+/- 349,231)
test mutex_3t_006p ... bench:   1,693,579 ns/iter (+/- 430,434)
test mutex_3t_007p ... bench:   1,727,528 ns/iter (+/- 306,245)
test mutex_3t_008p ... bench:   1,723,399 ns/iter (+/- 421,489)
test mutex_3t_009p ... bench:   1,659,950 ns/iter (+/- 433,312)
test mutex_3t_010p ... bench:   1,687,026 ns/iter (+/- 398,701)
test mutex_3t_011p ... bench:   1,681,302 ns/iter (+/- 365,981)
test mutex_3t_012p ... bench:   1,698,119 ns/iter (+/- 359,884)
test mutex_3t_013p ... bench:   1,691,117 ns/iter (+/- 449,835)
test mutex_3t_014p ... bench:   1,675,580 ns/iter (+/- 374,548)
test mutex_3t_015p ... bench:   1,724,753 ns/iter (+/- 503,457)
test mutex_3t_016p ... bench:   1,726,841 ns/iter (+/- 598,980)
test mutex_3t_017p ... bench:   1,708,495 ns/iter (+/- 377,594)
test mutex_3t_018p ... bench:   1,977,038 ns/iter (+/- 589,835)
test mutex_3t_019p ... bench:   1,895,426 ns/iter (+/- 409,097)
test mutex_3t_020p ... bench:   1,739,572 ns/iter (+/- 340,923)
test mutex_3t_021p ... bench:   1,758,008 ns/iter (+/- 389,549)
test mutex_3t_022p ... bench:   1,704,075 ns/iter (+/- 433,306)
test mutex_3t_023p ... bench:   1,687,623 ns/iter (+/- 338,954)
test mutex_3t_024p ... bench:   1,727,434 ns/iter (+/- 320,452)
test mutex_3t_025p ... bench:   1,742,925 ns/iter (+/- 419,315)
test mutex_3t_026p ... bench:   1,766,928 ns/iter (+/- 372,640)
test mutex_3t_027p ... bench:   1,733,610 ns/iter (+/- 397,219)
test mutex_3t_028p ... bench:   1,723,529 ns/iter (+/- 511,514)
test mutex_3t_029p ... bench:   1,732,412 ns/iter (+/- 406,171)
test mutex_3t_030p ... bench:   1,759,296 ns/iter (+/- 404,025)
test mutex_3t_031p ... bench:   1,753,756 ns/iter (+/- 464,112)
test mutex_3t_032p ... bench:   1,805,381 ns/iter (+/- 400,882)
test mutex_3t_033p ... bench:   1,792,360 ns/iter (+/- 500,862)
test mutex_3t_034p ... bench:   1,822,458 ns/iter (+/- 291,108)
test mutex_3t_035p ... bench:   1,797,643 ns/iter (+/- 435,421)
test mutex_3t_036p ... bench:   1,834,014 ns/iter (+/- 504,500)
test mutex_3t_037p ... bench:   1,781,267 ns/iter (+/- 354,067)
test mutex_3t_038p ... bench:   1,780,924 ns/iter (+/- 478,580)
test mutex_3t_039p ... bench:   1,792,334 ns/iter (+/- 312,133)
test mutex_3t_040p ... bench:   1,833,375 ns/iter (+/- 405,576)
test mutex_3t_041p ... bench:   1,924,729 ns/iter (+/- 420,140)
test mutex_3t_042p ... bench:   1,867,090 ns/iter (+/- 409,921)
test mutex_3t_043p ... bench:   1,859,803 ns/iter (+/- 409,959)
test mutex_3t_044p ... bench:   1,870,649 ns/iter (+/- 344,832)
test mutex_3t_045p ... bench:   1,868,704 ns/iter (+/- 394,670)
test mutex_3t_046p ... bench:   1,845,803 ns/iter (+/- 321,696)
test mutex_3t_047p ... bench:   1,863,725 ns/iter (+/- 354,610)
test mutex_3t_048p ... bench:   1,826,552 ns/iter (+/- 469,948)
test mutex_3t_049p ... bench:   1,914,608 ns/iter (+/- 363,668)
test mutex_3t_050p ... bench:   1,893,437 ns/iter (+/- 445,139)
test mutex_3t_051p ... bench:   1,928,638 ns/iter (+/- 444,536)
test mutex_3t_052p ... bench:   1,925,069 ns/iter (+/- 366,401)
test mutex_3t_053p ... bench:   1,957,540 ns/iter (+/- 464,405)
test mutex_3t_054p ... bench:   1,982,585 ns/iter (+/- 409,755)
test mutex_3t_055p ... bench:   2,029,077 ns/iter (+/- 434,959)
test mutex_3t_056p ... bench:   1,979,571 ns/iter (+/- 411,490)
test mutex_3t_057p ... bench:   1,962,527 ns/iter (+/- 398,544)
test mutex_3t_058p ... bench:   1,995,155 ns/iter (+/- 444,994)
test mutex_3t_059p ... bench:   2,028,994 ns/iter (+/- 371,084)
test mutex_3t_060p ... bench:   2,045,847 ns/iter (+/- 453,001)
test mutex_3t_061p ... bench:   2,019,803 ns/iter (+/- 379,294)
test mutex_3t_062p ... bench:   2,071,872 ns/iter (+/- 472,395)
test mutex_3t_063p ... bench:   2,114,889 ns/iter (+/- 415,443)
test mutex_3t_064p ... bench:   2,136,361 ns/iter (+/- 383,491)
test mutex_3t_065p ... bench:   2,174,866 ns/iter (+/- 318,027)
test mutex_3t_066p ... bench:   2,169,242 ns/iter (+/- 397,505)
test mutex_3t_067p ... bench:   2,171,205 ns/iter (+/- 432,207)
test mutex_3t_068p ... bench:   2,277,152 ns/iter (+/- 427,645)
test mutex_3t_069p ... bench:   2,287,707 ns/iter (+/- 396,654)
test mutex_3t_070p ... bench:   2,295,403 ns/iter (+/- 367,043)
test mutex_3t_071p ... bench:   2,352,618 ns/iter (+/- 404,392)
test mutex_3t_072p ... bench:   2,384,261 ns/iter (+/- 463,595)
test mutex_3t_073p ... bench:   2,422,029 ns/iter (+/- 436,485)
test mutex_3t_074p ... bench:   2,444,126 ns/iter (+/- 340,121)
test mutex_3t_075p ... bench:   2,497,519 ns/iter (+/- 500,345)
test mutex_3t_076p ... bench:   2,498,576 ns/iter (+/- 454,692)
test mutex_3t_077p ... bench:   2,609,292 ns/iter (+/- 367,356)
test mutex_3t_078p ... bench:   2,633,421 ns/iter (+/- 552,946)
test mutex_3t_079p ... bench:   2,684,760 ns/iter (+/- 510,723)
test mutex_3t_080p ... bench:   2,679,398 ns/iter (+/- 380,637)
test mutex_3t_081p ... bench:   2,724,105 ns/iter (+/- 369,038)
test mutex_3t_082p ... bench:   2,758,536 ns/iter (+/- 307,492)
test mutex_3t_083p ... bench:   2,768,198 ns/iter (+/- 299,125)
test mutex_3t_084p ... bench:   2,818,856 ns/iter (+/- 293,016)
test mutex_3t_085p ... bench:   2,905,070 ns/iter (+/- 294,389)
test mutex_3t_086p ... bench:   2,944,522 ns/iter (+/- 264,600)
test mutex_3t_087p ... bench:   2,957,825 ns/iter (+/- 268,438)
test mutex_3t_088p ... bench:   3,002,057 ns/iter (+/- 278,746)
test mutex_3t_089p ... bench:   3,026,797 ns/iter (+/- 235,505)
test mutex_3t_090p ... bench:   3,073,071 ns/iter (+/- 243,247)
test mutex_3t_091p ... bench:   3,140,909 ns/iter (+/- 283,865)
test mutex_3t_092p ... bench:   3,177,833 ns/iter (+/- 211,665)
test mutex_3t_093p ... bench:   3,197,415 ns/iter (+/- 260,241)
test mutex_3t_094p ... bench:   3,235,220 ns/iter (+/- 250,749)
test mutex_3t_095p ... bench:   3,286,481 ns/iter (+/- 231,274)
test mutex_3t_096p ... bench:   3,350,493 ns/iter (+/- 362,451)
test mutex_3t_097p ... bench:   3,389,822 ns/iter (+/- 340,917)
test mutex_3t_098p ... bench:   3,560,785 ns/iter (+/- 804,490)
test mutex_3t_099p ... bench:   4,037,649 ns/iter (+/- 296,398)
test mutex_3t_100p ... bench:   4,009,440 ns/iter (+/- 858,020)
test mutex_4t_000p ... bench:   1,637,563 ns/iter (+/- 297,026)
test mutex_4t_001p ... bench:   1,537,905 ns/iter (+/- 301,311)
test mutex_4t_002p ... bench:   1,499,960 ns/iter (+/- 296,358)
test mutex_4t_003p ... bench:   1,480,655 ns/iter (+/- 262,533)
test mutex_4t_004p ... bench:   1,510,175 ns/iter (+/- 281,553)
test mutex_4t_005p ... bench:   1,515,489 ns/iter (+/- 293,014)
test mutex_4t_006p ... bench:   1,524,848 ns/iter (+/- 273,521)
test mutex_4t_007p ... bench:   1,551,575 ns/iter (+/- 242,937)
test mutex_4t_008p ... bench:   1,517,416 ns/iter (+/- 240,949)
test mutex_4t_009p ... bench:   1,518,421 ns/iter (+/- 281,694)
test mutex_4t_010p ... bench:   1,520,172 ns/iter (+/- 251,212)
test mutex_4t_011p ... bench:   1,519,117 ns/iter (+/- 435,799)
test mutex_4t_012p ... bench:   1,549,157 ns/iter (+/- 273,515)
test mutex_4t_013p ... bench:   1,518,569 ns/iter (+/- 255,978)
test mutex_4t_014p ... bench:   1,520,851 ns/iter (+/- 314,726)
test mutex_4t_015p ... bench:   1,546,503 ns/iter (+/- 286,492)
test mutex_4t_016p ... bench:   1,525,114 ns/iter (+/- 241,540)
test mutex_4t_017p ... bench:   1,557,057 ns/iter (+/- 287,370)
